Date,Open,High,Low,Close,Adj Close,Volume
2017-07-14,56.540001,57.410000,56.529999,57.230000,57.230000,4420300
2017-07-17,57.680000,57.880001,57.130001,57.509998,57.509998,6905800
2017-07-18,57.130001,58.750000,56.730000,58.480000,58.480000,7126600
2017-07-19,59.270000,59.330002,58.189999,58.360001,58.360001,8682700
2017-07-20,58.459999,58.580002,58.020000,58.450001,58.450001,8757000
2017-07-21,58.189999,58.400002,57.759998,58.160000,58.160000,8832400
2017-07-24,58.279999,58.500000,58.020000,58.150002,58.150002,3671100
2017-07-25,57.980000,58.369999,57.869999,58.070000,58.070000,3264400
2017-07-26,57.950001,59.029999,57.930000,58.900002,58.900002,5443700
2017-07-27,59.610001,60.220001,57.560001,58.430000,58.430000,8394400
2017-07-28,58.110001,59.639999,57.980000,59.200001,59.200001,5871000
2017-07-31,59.700001,59.889999,58.070000,58.400002,58.400002,6738100
2017-08-01,58.599998,58.799999,58.110001,58.500000,58.500000,4164500
2017-08-02,58.950001,59.250000,56.900002,57.660000,57.660000,5845800
2017-08-03,57.869999,58.330002,57.130001,58.150002,58.150002,4725800
2017-08-04,58.430000,58.570000,58.009998,58.509998,58.509998,7330400
2017-08-07,58.849998,60.160000,58.759998,60.029999,60.029999,5540200
2017-08-08,59.770000,60.439999,59.619999,59.860001,59.860001,4207200
2017-08-09,59.230000,59.950001,59.070000,59.770000,59.770000,3070800
2017-08-10,59.169998,59.509998,57.869999,58.029999,58.029999,4420300
2017-08-11,57.779999,58.230000,56.840000,57.919998,57.919998,5543600
