Date,Open,High,Low,Close,Adj Close,Volume
2017-07-14,63.599998,64.720001,63.009998,64.250000,64.250000,1147600
2017-07-17,64.680000,64.860001,63.150002,63.849998,63.849998,1021100
2017-07-18,63.410000,63.750000,62.740002,63.080002,63.080002,1098900
2017-07-19,63.310001,64.430000,62.980000,63.740002,63.740002,1031800
2017-07-20,63.980000,63.980000,63.000000,63.290001,63.290001,929800
2017-07-21,63.169998,63.959999,62.980000,63.169998,63.169998,824900
2017-07-24,63.180000,66.089996,63.180000,65.790001,65.790001,1486600
2017-07-25,66.019997,66.019997,64.300003,64.930000,64.930000,1598200
2017-07-26,65.279999,65.860001,64.610001,65.050003,65.050003,1002900
2017-07-27,65.610001,65.919998,60.439999,62.490002,62.490002,2207600
2017-07-28,62.150002,64.239998,61.860001,63.630001,63.630001,1033600
2017-07-31,63.990002,64.089996,62.580002,63.759998,63.759998,801200
2017-08-01,64.000000,65.199997,63.119999,64.599998,64.599998,1447600
2017-08-02,64.610001,64.800003,61.060001,61.980000,61.980000,1197300
2017-08-03,62.119999,62.820000,61.869999,62.430000,62.430000,860300
2017-08-04,62.509998,63.000000,61.860001,62.119999,62.119999,736400
2017-08-07,62.240002,63.320000,62.119999,63.180000,63.180000,856500
2017-08-08,63.070000,63.540001,62.680000,62.830002,62.830002,755100
2017-08-09,62.450001,64.019997,62.090000,63.650002,63.650002,1009700
2017-08-10,63.119999,63.380001,59.849998,59.910000,59.910000,1567900
2017-08-11,59.930000,61.959999,59.930000,61.849998,61.849998,944200
